V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Thank you for filling out the midterm evaluation for EDUC2201. Your / honest and clear feedback will help me create a more effective and / meaningful learning experience for you for the remainder of th...,I am in the:,"What are the strongest features of this course and of my /  teaching? In other words, what contributes most to your learning?",What specific suggestions do you have for changes that I can make /  to improve the course or how it is taught?,What digital tools were the most interesting and/or useful to you /  and why?,What course experiences were the most interesting and/or useful /  to you and why?,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me consider technology in a different way.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me consider teaching in a different way.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me feel confident to develop digital materials to support learning.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me feel confident to teach with technology.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course provided useful frameworks for teaching with technology.,This course has helped me on my path to becoming a member of the / technology-using teaching profession.,Please explain why you chose the answer you did for the above / question.,In what ways has your thinking about teaching with technology in / general changed?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_57oCtPI9rPAd3Lv,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:37,2014-10-15 09:44:01,1,1,1,free exploration with group activities,more stucture of outcomes,mindmup and glogster and the ipad screenchomp,the most interesting has been the discussion on how technology is good for education.,2,2,2,2,2,2,I do not fear the idea of technology in a classroom. I can see how it benefits children,it has approved the idea of the usefulness of teaching with technology.,39.484100341797,-80.060096740723,-1,
R_3kQsNkWnL98bcjP,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:43,2014-10-15 09:44:09,1,1,1,getting my ready for teaching in the classroom ,remind us about the due dates for papers and give us more time after the project to work on the paper and explain it more ,screen chomp ,using the website to ask questions about the core test ,1,1,1,1,1,1,I think you are a really good professor ,people depend on it more ,39.484100341797,-80.060096740723,-1,
R_77mZDQn1r7lZaGF,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:32,2014-10-15 09:44:29,1,1,1,When we have class discussions and handouts ,more hands on teaching ,glogster because it was an easy way to make a nice poster ,The videos on texting and language ,2,2,2,2,2,2,I am confident with technology but I may not use all of the technology we learned about ,I learned about more ways to incorporate technology in the classroom (certain websites and videos) ,39.484100341797,-80.060096740723,-1,
R_3PCtZ36Qo50Ogdf,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:41,2014-10-15 09:44:53,1,1,1,When we have discussions and class projects.,Explain things more and be more clear and understanding.,Glogster and because you can make more visual tools.,The videos that we watched.,2,2,3,2,2,3,I don't remember the website names and which one was which and we used them once.,More things that I did not know about technology.,39.484100341797,-80.060096740723,-1,
R_0DKcgqY5AYoXYrz,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:39:59,2014-10-15 09:45:11,1,1,1,hands on activities such as this last activity. ,explain things in better detail. ,glogster and trello ,videos and power points that were used. ,2,2,1,1,1,2,we have so many websites I forget the names of them and the password and username.... I think a worksheet with all the websites should be gave out. ,there is a lot more out there to use with technology and teaching. ,39.484100341797,-80.060096740723,-1,
R_ebRXcwNFyCBqLEp,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:55,2014-10-15 09:45:24,1,1,1,Hand on things.,N/a,I like the screenchomp a lot. It was really cool to play around with.,N/a,4,4,4,4,4,2,I'm really not going into teaching so I won't really use much technology.,It is a lot easier and more exciting ,39.484100341797,-80.060096740723,-1,
R_42ESj0VFWisZF09,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:39:39,2014-10-15 09:45:52,1,1,1,You are creative and want to keep everyone interested. ,I feel we waste a lot of time sometimes,"I liked glogster, ",the videos we watched and the different tools we used,2,2,2,2,2,2,I agree I will use technology in the class,,39.484100341797,-80.060096740723,-1,
R_9NAYMcXgT1Jqi1v,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:58,2014-10-15 09:46:24,1,1,1,I like how much information Dr. Price brings to class each day.,I would change the students that I have class with haha I dislike that I got a B for the midterm when I feel that I've worked really hard in the class.,"I LOVE Google drive, docs, the whole Google thing","I like that my education class's are more personal, that I get to know my professors more, and I can be more comfortable in class.",2,1,1,2,2,1,"Well I'm not tech savy, but I'm slowly getting there with this class. ","I know that I can integrate technology slowly into my classroom, and not all at once. ",39.484100341797,-80.060096740723,-1,
R_6zXlGwdt3zQPIRT,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:07,2014-10-15 09:46:51,1,1,1,"I like the warm-ups that get me to wake up, I also like how I feel like I get some independence in my work.",none what so ever!!!!,I liked screen chomp and xmind! Because I like how I can incorporate technology into my teaching.,"I liked the meeting we had with you, you helped me understand taskstream more and introduced me to my advisor! Thank you for that!!",1,1,1,1,1,1,It has introduced me to technology I didn't even know existed and I feel that it makes me feel more comfortable with teaching with the technology.,I now feel more comfortable with using technology while teaching.,39.484100341797,-80.060096740723,-1,
